0	10	174	0.953488372			
1	14	211	0.924882629			
2	14	187	0.915343915			
3	23	211	0.846846847			
4	23	195	0.834951456			
5	22	206	0.851851852			
6	25	202	0.823255814			
7	29	190	0.777777778			
8	29	192	0.779904306			
9	31	190	0.76076555			
10	30	195	0.774647887			
11	30	195	0.774647887			
12	32	188	0.75			
13	35	175	0.707070707			
14	38	182	0.692307692			
15	42	170	0.64			
16	43	166	0.624365482			
17	44	166	0.616161616			
18	45	175	0.625			
19	49	161	0.565656566			
20	55	171	0.542056075			
21	52	160	0.54			
22	52	157	0.532994924			
23	45	177	0.628571429			
24	43	170	0.631840796			
25	40	170	0.656565657			
26	40	190	0.688073394			
27	53	184	0.582222222			
28	54	172	0.551401869			
29	57	158	0.497536946			
30	62	165	0.479069767			
31	55	167	0.533333333			
32	63	150	0.432835821			
33	58	148	0.463917526			
